url,village,districts,province,provincial_capital,lng,lat
http://www.iecity.com/xian/map/Detail66487070706573697671.html,于家村地图,灞桥区,陕西省,西安,109.093075,34.354628
http://www.iecity.com/xian/map/Detail66487282486678676854.html,小虎家地图,雁塔区,陕西省,西安,108.948934,34.225129
http://www.iecity.com/xian/map/Detail66484849684949688972.html,北余家寨村地图,未央区,陕西省,西安,108.972076,34.314714
http://www.iecity.com/xian/map/Detail66484849684856488469.html,余家村地图,临潼区,陕西省,西安,109.392569,34.578986
http://www.iecity.com/xian/map/Detail66484849684856546979.html,木头岭地图,长安区,陕西省,西安,109.008783,33.99072
http://www.iecity.com/xian/map/Detail66484849684856518065.html,余家村地图,蓝田县,陕西省,西安,109.58435,34.241027
http://www.iecity.com/xian/map/Detail66484849684857698977.html,车李村地图,临潼区,陕西省,西安,109.316625,34.575125
http://www.iecity.com/xian/map/Detail66484849684856538465.html,余家沟村地图,蓝田县,陕西省,西安,109.30631,34.030785
http://www.iecity.com/xian/map/Detail66484849684949566685.html,西余家沟村地图,蓝田县,陕西省,西安,109.271874,34.214181
http://www.iecity.com/xian/map/Detail66484849684856537976.html,佘家湾地图,蓝田县,陕西省,西安,109.244476,34.069251
http://www.iecity.com/xian/map/Detail66484849684856498574.html,许王村地图,灞桥区,陕西省,西安,109.103767,34.351462
http://www.iecity.com/xian/map/Detail66487185896751728169.html,徐家庄地图,周至县,陕西省,西安,108.39561,34.152844
http://www.iecity.com/xian/map/Detail66484849684856518550.html,谭家寨村地图,周至县,陕西省,西安,108.013069,34.152358
http://www.iecity.com/xian/map/Detail66484849684856497289.html,余家村地图,灞桥区,陕西省,西安,109.069485,34.417475
http://www.iecity.com/xian/map/Detail66484849684856515582.html,杜陵村地图,灞桥区,陕西省,西安,109.114041,34.228155
http://www.iecity.com/xian/map/Detail66487070748282788157.html,高庙南村地图,未央区,陕西省,西安,108.892853,34.342309
http://www.iecity.com/xian/map/Detail66484849684856527184.html,西曹南村地图,长安区,陕西省,西安,109.018864,34.13913
